Time,Region,Country Name,Country Code,"Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Population, female [SP.POP.TOTL.FE.IN]","Population, male [SP.POP.TOTL.MA.IN]","Population, total [SP.POP.TOTL]","GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]"
2022,Asia,Afghanistan,AFG,..,..,..,20362329,20766442,41128771,..
2022,Europe,Albania,ALB,..,..,..,1391085,1384548,2775634,18551.71648
2022,Africa,Algeria,DZA,..,..,..,22040987,22862237,44903225,13209.59677
2022,Oceania,American Samoa,ASM,..,..,..,22399,21873,44273,..
2022,Europe,Andorra,AND,..,..,..,39038,40786,79824,..
2022,Africa,Angola,AGO,..,..,..,17998220,17590767,35588987,6973.696299
2022,North America,Antigua and Barbuda,ATG,..,..,..,48981,44782,93763,25336.6426
2022,South America,Argentina,ARG,..,..,..,23345532,22889298,46234830,26504.59056
2022,Asia,Armenia,ARM,..,..,..,1530390,1250079,2780469,18941.52681
2022,North America,Aruba,ABW,..,..,..,56272,50173,106445,..
2022,Oceania,Australia,AUS,..,..,..,13079142,12899794,25978935,62625.35764
2022,Europe,Austria,AUT,..,..,..,4590655,4451873,9042528,67935.84797
2022,Asia,Azerbaijan,AZE,..,..,..,5154492,5020523,10175016,17764.44559
2022,North America,"Bahamas, The",BHS,..,..,..,214167,195817,409984,40378.55175
2022,Asia,Bahrain,BHR,..,..,..,560034,912199,1472233,61227.89722
2022,Asia,Bangladesh,BGD,..,..,..,86327159,84859213,171186372,7395.095987
2022,North America,Barbados,BRB,..,..,..,146550,135084,281635,17837.45322
2022,Europe,Belarus,BLR,..,..,..,4968656,4240046,9208701,22590.59092
2022,Europe,Belgium,BEL,..,..,..,5903468,5765978,11669446,65027.2949
2022,North America,Belize,BLZ,..,..,..,201525,203747,405272,11450.9169
2022,Africa,Benin,BEN,..,..,..,6663569,6689295,13352864,4056.108341
2022,North America,Bermuda,BMU,..,..,..,32917,30615,63532,95837.03242
2022,Asia,Bhutan,BTN,..,..,..,368525,413930,782455,..
2022,South America,Bolivia,BOL,..,..,..,6097747,6126364,12224110,9683.617497
2022,Europe,Bosnia and Herzegovina,BIH,..,..,..,1641713,1591814,3233526,20376.89219
2022,Africa,Botswana,BWA,..,..,..,1331489,1298807,2630296,18323.0457
2022,South America,Brazil,BRA,..,..,..,109580471,105733027,215313498,17821.73726
2022,North America,British Virgin Islands,VGB,..,..,..,16242,15062,31305,..
2022,Asia,Brunei Darussalam,BRN,..,..,..,216797,232205,449002,69274.98414
2022,Europe,Bulgaria,BGR,..,..,..,3329964,3135133,6465097,33582.28261
2022,Africa,Burkina Faso,BFA,..,..,..,11374607,11299155,22673762,2545.863549
2022,Africa,Burundi,BDI,..,..,..,6488650,6400926,12889576,836.187569
2022,Africa,Cabo Verde,CPV,..,..,..,298239,294911,593149,9082.837643
2022,Asia,Cambodia,KHM,..,..,..,8468316,8299527,16767842,5349.463794
2022,Africa,Cameroon,CMR,..,..,..,13992014,13922522,27914536,4408.046274
2022,North America,Canada,CAN,..,..,..,19583244,19346659,38929902,58399.54548
2022,North America,Cayman Islands,CYM,..,..,..,34036,34669,68706,..
2022,Africa,Central African Republic,CAF,..,..,..,2790791,2788352,5579144,967.2683238
2022,Africa,Chad,TCD,..,..,..,8827313,8896002,17723315,1668.022961
2022,#N/A,Channel Islands,CHI,..,..,..,87914,86165,174079,..
2022,South America,Chile,CHL,..,..,..,9874202,9729531,19603733,30208.80553
2022,Asia,China,CHN,..,..,..,691528501,720646499,1412175000,21475.61053
2022,South America,Colombia,COL,..,..,..,26298417,25575607,51874024,20287.40026
