TIME,REGION,COUNTRY,COUNTRY_CODE, LIFE_EXP_FEMALE , LIFE_EXP_MALE , LIFE_EXP_TOTAL , POP_FEMALE , POP_MALE , POP_TOTAL , GDP_CAPITA , HEALTH_CAPITA 
2018,Asia,Afghanistan,AFG, 66.46 , 59.92 , 63.08 ," 18,136,922 "," 18,549,862 "," 36,686,784 "," 2,110.24 ", 299.82 
2018,Europe,Albania,ALB, 81.61 , 77.04 , 79.18 ," 1,430,495 "," 1,435,881 "," 2,866,376 "," 13,498.18 ", 895.59 
2018,Africa,Algeria,DZA, 77.21 , 74.97 , 76.07 ," 20,564,404 "," 21,362,603 "," 41,927,007 "," 12,007.77 ", 741.42 
2018,Africa,Angola,AGO, 64.72 , 59.58 , 62.14 ," 15,828,040 "," 15,445,494 "," 31,273,533 "," 7,043.96 ", 181.08 
2018,North America,Antigua and Barbuda,ATG, 81.00 , 75.72 , 78.51 ," 47,910 "," 43,715 "," 91,626 "," 22,603.19 "," 1,096.55 "
2018,South America,Argentina,ARG, 80.33 , 73.63 , 77.00 ," 22,467,488 "," 22,027,014 "," 44,494,502 "," 23,294.10 "," 2,216.69 "
2018,Asia,Armenia,ARM, 79.60 , 69.99 , 75.06 ," 1,551,563 "," 1,284,995 "," 2,836,557 "," 13,549.52 "," 1,355.65 "
2018,North America,Aruba,ABW, 78.85 , 73.10 , 76.07 ," 55,935 "," 50,026 "," 105,962 "," 41,685.36 ", 29.34 
2018,Oceania,Australia,AUS, 84.90 , 80.70 , 82.75 ," 12,582,741 "," 12,383,903 "," 24,966,643 "," 50,192.96 "," 5,337.98 "
2018,Europe,Austria,AUT, 84.10 , 79.40 , 81.69 ," 4,492,714 "," 4,347,806 "," 8,840,521 "," 56,937.94 "," 5,904.62 "
2018,Asia,Azerbaijan,AZE, 75.71 , 69.69 , 72.76 ," 5,036,324 "," 4,903,447 "," 9,939,771 "," 14,551.20 ", 506.61 
2018,North America,"Bahamas, The",BHS, 77.32 , 70.23 , 73.81 ," 209,250 "," 192,656 "," 401,906 "," 35,167.40 "," 2,158.40 "
2018,Asia,Bahrain,BHR, 81.20 , 78.82 , 79.86 ," 555,346 "," 931,994 "," 1,487,340 "," 50,114.15 "," 2,068.99 "
2018,Asia,Bangladesh,BGD, 74.35 , 70.89 , 72.57 ," 82,369,393 "," 81,314,565 "," 163,683,958 "," 5,247.69 ", 121.78 
2018,North America,Barbados,BRB, 78.96 , 75.01 , 77.07 ," 145,752 "," 133,936 "," 279,688 "," 16,388.60 "," 1,079.56 "
2018,Europe,Belarus,BLR, 79.40 , 69.20 , 74.18 ," 5,077,117 "," 4,361,667 "," 9,438,785 "," 19,430.91 "," 1,045.47 "
2018,Europe,Belgium,BEL, 83.90 , 79.40 , 81.60 ," 5,794,664 "," 5,632,391 "," 11,427,054 "," 52,530.56 "," 5,681.60 "
2018,North America,Belize,BLZ, 77.02 , 70.84 , 73.70 ," 189,707 "," 192,359 "," 382,066 "," 9,010.06 ", 426.11 
2018,Africa,Benin,BEN, 61.35 , 58.92 , 60.14 ," 5,965,949 "," 5,974,735 "," 11,940,683 "," 3,113.25 ", 77.30 
2018,North America,Bermuda,BMU, 83.98 , 77.59 , 80.83 ," 32,943 "," 30,975 "," 63,918 "," 83,380.87 ", 11.18 
2018,Asia,Bhutan,BTN, 72.91 , 69.60 , 71.13 ," 357,467 "," 404,630 "," 762,096 "," 11,503.85 ", 364.37 
2018,South America,Bolivia,BOL, 70.38 , 65.28 , 67.75 ," 5,774,185 "," 5,832,721 "," 11,606,905 "," 8,669.83 ", 572.54 
2018,Europe,Bosnia and Herzegovina,BIH, 79.09 , 75.03 , 77.09 ," 1,729,892 "," 1,670,236 "," 3,400,129 "," 14,801.26 "," 1,296.74 "
2018,Africa,Botswana,BWA, 67.37 , 63.34 , 65.42 ," 1,242,730 "," 1,208,678 "," 2,451,409 "," 15,321.78 ", 929.02 
2018,South America,Brazil,BRA, 78.27 , 71.96 , 75.11 ," 106,812,144 "," 103,354,449 "," 210,166,592 "," 14,971.05 "," 1,416.93 "
2018,Asia,Brunei Darussalam,BRN, 76.96 , 72.67 , 74.71 ," 209,257 "," 225,018 "," 434,274 "," 61,084.26 "," 1,473.85 "
2018,Europe,Bulgaria,BGR, 78.60 , 71.50 , 74.96 ," 3,618,547 "," 3,406,489 "," 7,025,037 "," 23,016.07 "," 1,680.78 "
2018,Africa,Burkina Faso,BFA, 61.71 , 58.29 , 60.05 ," 10,241,740 "," 10,150,983 "," 20,392,723 "," 2,100.53 ", 105.14 
2018,Africa,Burundi,BDI, 63.52 , 59.82 , 61.69 ," 5,789,861 "," 5,703,611 "," 11,493,472 ", 758.25 , 56.10 
2018,Africa,Cabo Verde,CPV, 79.88 , 71.34 , 75.73 ," 287,116 "," 284,085 "," 571,202 "," 7,490.14 ", 347.03 
2018,Asia,Cambodia,KHM, 72.78 , 68.23 , 70.56 ," 8,094,239 "," 7,930,999 "," 16,025,238 "," 4,319.02 ", 265.35 
2018,Africa,Cameroon,CMR, 62.78 , 59.60 , 61.18 ," 12,575,513 "," 12,501,234 "," 25,076,747 "," 3,822.23 ", 138.35 
2018,North America,Canada,CAN, 83.99 , 79.80 , 81.84 ," 18,659,541 "," 18,405,543 "," 37,065,084 "," 49,992.76 "," 5,426.62 "
2018,Africa,Central African Republic,CAF, 56.59 , 52.29 , 54.37 ," 2,545,524 "," 2,549,256 "," 5,094,780 ", 875.19 , 98.72 
2018,Africa,Chad,TCD, 54.32 , 51.37 , 52.83 ," 7,772,311 "," 7,831,899 "," 15,604,210 "," 1,601.13 ", 71.82 
2018,South America,Chile,CHL, 82.53 , 77.68 , 80.13 ," 9,420,150 "," 9,281,300 "," 18,701,450 "," 25,564.54 "," 2,358.52 "
2018,Asia,China,CHN, 80.64 , 75.05 , 77.74 ," 685,468,978 "," 717,291,023 "," 1,402,760,000 "," 15,497.83 ", 789.78 
2018,South America,Colombia,COL, 79.66 , 73.84 , 76.75 ," 24,945,907 "," 24,331,054 "," 49,276,961 "," 15,161.32 "," 1,156.11 "
2018,Africa,Comoros,COM, 66.20 , 61.81 , 63.91 ," 386,817 "," 389,497 "," 776,313 "," 3,374.04 ", 164.00 
2018,Africa,"Congo, Dem. Rep.",COD, 61.77 , 58.13 , 59.94 ," 43,890,310 "," 43,197,045 "," 87,087,355 "," 1,073.45 ", 18.26 
2018,Africa,"Congo, Rep.",COG, 65.27 , 62.83 , 64.05 ," 2,724,474 "," 2,716,588 "," 5,441,062 "," 3,877.44 ", 73.58 
